pf_id,smiles,hfu_p_mod,hfu_p_num,measure_comm,hbp_mod,hbp_num,blood2plasm_comm
PF-00579887,Clc1c(cccc1)[C@@H]2C(=C(NC(=C2C(=O)OC)C)COCCN)C(=O)OCC,=,0.0748,,=,1.5,
PF-06780737,Fc1ccc(cc1)CN(C2CCN(CC2)C)C(=O)NCc3ccc(cc3)OCC(C)C,=,0.0796,,,,
PF-06276688,Fc1c2c(ccc1)N=C(N(C2=O)c3ccccc3)[C@@H](Nc4ncnc5[nH]cnc54)CC,=,0.0797,,=,0.545,
PF-00344640,[S@](=O)(Cc1ncc(c(c1C)OC)C)c2[nH]c3c(n2)cc(cc3)OC,=,0.0798,,,,
PF-00345145,S(=O)(=O)(N(CCC)CCC)c1ccc(cc1)C(=O)O,=,0.0807,,=,0.598,
PF-00579911,s1c5c(c(c1-c2ccc(cc2)O)C(=O)c3ccc(cc3)OCCN4CCCCC4)ccc(c5)O,=,0.083975,  Pre-saturation methodPre-saturation method,=,0.790690816,
PF-01527112,N(c1ncnc2c1cc(c(c2)OCCOC)OCCOC)c3cc(ccc3)C#C,=,0.0849,,=,1.1245,
PF-02586636,N1(C[C@@H](CC1)C(c2ccccc2)(c3ccccc3)C(=O)N)CCc4cc5c(cc4)OCC5,=,0.0856,,=,0.602,
PF-01827219,Fc2cc1onc(c1cc2)C3CCN(CC3)CCCOc4c(cc(cc4)C(=O)C)OC,=,0.0868,,,,
PF-02634376,Fc1ccc(cc1)[C@H]2[C@@H](CNCC2)COc3cc4c(cc3)OCO4,=,0.0879,,=,1.045,
PF-05305726,Fc1c(cc(cc1)Nc2ncnc3c2cc(c(c3)O[C@@H]4COCC4)NC(=O)/C=C/CN(C)C)Cl,=,0.088033333,,=,1.383224142,
PF-06737210,Fc2c1nc(n(c1cc(c2)-c3nc(ncc3F)Nc4ncc(cc4)CN5CCN(CC5)CC)C(C)C)C,=,0.089071429,Low recovery in experiment      ,=,0.789498792,% Recovery out of +/-30% range  Compound not at equilibriumCompound not at equilibrium
PF-00344595,Clc1cc(ccc1)N2CCN(CC2)CCCN4N=C3N(C=CC=C3)C4=O,=,0.095,,=,0.659,
PF-00345384,o1c2c(cc1)cc3c(c2OC)OC(=O)C=C3,=,0.10145,Poor analytical sensitivity  ,=,0.701,
PF-00833929,S(=O)(=O)(N)c1c(ccc(c1)C[C@H](NCCOc2c(cccc2)OCC)C)OC,=,0.104,,,,
PF-00344579,N1(CCN(CC1)C(=O)c2occc2)c3nc4c(c(n3)N)cc(c(c4)OC)OC,=,0.109,,=,0.712,
PF-00344542,[N+](=O)([O-])c1ccc(cc1)-c2oc(cc2)/C=N/N3CC(=O)N=C3O,=,0.11,,,,
